GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
8600000US90001,90001,ZCTA5 90001,57110
8600000US90002,90002,ZCTA5 90002,51223
8600000US90003,90003,ZCTA5 90003,66266
8600000US90004,90004,ZCTA5 90004,62180
8600000US90005,90005,ZCTA5 90005,37681
8600000US90006,90006,ZCTA5 90006,59185
8600000US90007,90007,ZCTA5 90007,40920
8600000US90008,90008,ZCTA5 90008,32327
8600000US90010,90010,ZCTA5 90010,3800
8600000US90011,90011,ZCTA5 90011,103892
8600000US90012,90012,ZCTA5 90012,31103
8600000US90013,90013,ZCTA5 90013,11772
8600000US90014,90014,ZCTA5 90014,7005
8600000US90015,90015,ZCTA5 90015,18986
8600000US90016,90016,ZCTA5 90016,47596
8600000US90017,90017,ZCTA5 90017,23768
8600000US90018,90018,ZCTA5 90018,49310
8600000US90019,90019,ZCTA5 90019,64458
8600000US90020,90020,ZCTA5 90020,38967
8600000US90021,90021,ZCTA5 90021,3951
8600000US90022,90022,ZCTA5 90022,67179
8600000US90023,90023,ZCTA5 90023,45903
8600000US90024,90024,ZCTA5 90024,47452
8600000US90025,90025,ZCTA5 90025,42147
8600000US90026,90026,ZCTA5 90026,67869
8600000US90027,90027,ZCTA5 90027,45151
8600000US90028,90028,ZCTA5 90028,28714
8600000US90029,90029,ZCTA5 90029,38617
8600000US90031,90031,ZCTA5 90031,39316
8600000US90032,90032,ZCTA5 90032,45786
8600000US90033,90033,ZCTA5 90033,48852
8600000US90034,90034,ZCTA5 90034,57964
8600000US90035,90035,ZCTA5 90035,28418
8600000US90036,90036,ZCTA5 90036,36865
8600000US90037,90037,ZCTA5 90037,62276
8600000US90038,90038,ZCTA5 90038,28917
8600000US90039,90039,ZCTA5 90039,28514
8600000US90040,90040,ZCTA5 90040,12520
8600000US90041,90041,ZCTA5 90041,27425
8600000US90042,90042,ZCTA5 90042,62430
8600000US90043,90043,ZCTA5 90043,44789
8600000US90044,90044,ZCTA5 90044,89779
8600000US90045,90045,ZCTA5 90045,39480
8600000US90046,90046,ZCTA5 90046,48581
8600000US90047,90047,ZCTA5 90047,48606
8600000US90048,90048,ZCTA5 90048,21397
8600000US90049,90049,ZCTA5 90049,35482
8600000US90056,90056,ZCTA5 90056,7827
8600000US90057,90057,ZCTA5 90057,44998
8600000US90058,90058,ZCTA5 90058,3223
8600000US90059,90059,ZCTA5 90059,40952
8600000US90061,90061,ZCTA5 90061,26872
8600000US90062,90062,ZCTA5 90062,32821
8600000US90063,90063,ZCTA5 90063,55758
8600000US90064,90064,ZCTA5 90064,25403
8600000US90065,90065,ZCTA5 90065,45527
8600000US90066,90066,ZCTA5 90066,55277
8600000US90067,90067,ZCTA5 90067,2424
8600000US90068,90068,ZCTA5 90068,22286
8600000US90069,90069,ZCTA5 90069,20483
8600000US90071,90071,ZCTA5 90071,15
8600000US90073,90073,ZCTA5 90073,539
8600000US90077,90077,ZCTA5 90077,9377
8600000US90079,90079,ZCTA5 90079,0
8600000US90089,90089,ZCTA5 90089,3217
8600000US90090,90090,ZCTA5 90090,0
8600000US90094,90094,ZCTA5 90094,5464
8600000US90095,90095,ZCTA5 90095,3
8600000US90201,90201,ZCTA5 90201,101279
8600000US90210,90210,ZCTA5 90210,21741
8600000US90211,90211,ZCTA5 90211,8434
8600000US90212,90212,ZCTA5 90212,11555
8600000US90220,90220,ZCTA5 90220,49328
8600000US90221,90221,ZCTA5 90221,53704
8600000US90222,90222,ZCTA5 90222,31869
8600000US90230,90230,ZCTA5 90230,31766
8600000US90232,90232,ZCTA5 90232,15149
8600000US90240,90240,ZCTA5 90240,25876
8600000US90241,90241,ZCTA5 90241,42399
8600000US90242,90242,ZCTA5 90242,43497
8600000US90245,90245,ZCTA5 90245,16654
8600000US90247,90247,ZCTA5 90247,47487
8600000US90248,90248,ZCTA5 90248,9947
8600000US90249,90249,ZCTA5 90249,26669
8600000US90250,90250,ZCTA5 90250,93193
8600000US90254,90254,ZCTA5 90254,19506
8600000US90255,90255,ZCTA5 90255,75066
8600000US90260,90260,ZCTA5 90260,34924
8600000US90262,90262,ZCTA5 90262,69745
8600000US90263,90263,ZCTA5 90263,1612
8600000US90265,90265,ZCTA5 90265,18116
8600000US90266,90266,ZCTA5 90266,35135
8600000US90270,90270,ZCTA5 90270,27372
8600000US90272,90272,ZCTA5 90272,22986
8600000US90274,90274,ZCTA5 90274,25209
8600000US90275,90275,ZCTA5 90275,41804
8600000US90277,90277,ZCTA5 90277,35293
8600000US90278,90278,ZCTA5 90278,40071
8600000US90280,90280,ZCTA5 90280,94396
8600000US90290,90290,ZCTA5 90290,6368
8600000US90291,90291,ZCTA5 90291,28341
8600000US90292,90292,ZCTA5 90292,21576
8600000US90293,90293,ZCTA5 90293,12132
8600000US90301,90301,ZCTA5 90301,36568
8600000US90302,90302,ZCTA5 90302,29415
8600000US90303,90303,ZCTA5 90303,26176
8600000US90304,90304,ZCTA5 90304,28210
8600000US90305,90305,ZCTA5 90305,14853
8600000US90401,90401,ZCTA5 90401,6722
8600000US90402,90402,ZCTA5 90402,12250
8600000US90403,90403,ZCTA5 90403,24525
8600000US90404,90404,ZCTA5 90404,21360
8600000US90405,90405,ZCTA5 90405,27186
8600000US90501,90501,ZCTA5 90501,43180
8600000US90502,90502,ZCTA5 90502,18010
8600000US90503,90503,ZCTA5 90503,44383
8600000US90504,90504,ZCTA5 90504,32102
8600000US90505,90505,ZCTA5 90505,36678
8600000US90506,90506,ZCTA5 90506,0
8600000US90601,90601,ZCTA5 90601,31974
8600000US90602,90602,ZCTA5 90602,25777
8600000US90603,90603,ZCTA5 90603,20063
8600000US90604,90604,ZCTA5 90604,39407
8600000US90605,90605,ZCTA5 90605,40331
8600000US90606,90606,ZCTA5 90606,32396
8600000US90623,90623,ZCTA5 90623,15554
8600000US90630,90630,ZCTA5 90630,47993
8600000US90631,90631,ZCTA5 90631,67619
8600000US90638,90638,ZCTA5 90638,49012
8600000US90640,90640,ZCTA5 90640,62549
8600000US90650,90650,ZCTA5 90650,105549
8600000US90660,90660,ZCTA5 90660,62928
8600000US90670,90670,ZCTA5 90670,14866
8600000US90701,90701,ZCTA5 90701,16591
8600000US90703,90703,ZCTA5 90703,49399
8600000US90704,90704,ZCTA5 90704,4090
8600000US90706,90706,ZCTA5 90706,76615
8600000US90710,90710,ZCTA5 90710,25457
8600000US90712,90712,ZCTA5 90712,31499
8600000US90713,90713,ZCTA5 90713,27925
8600000US90715,90715,ZCTA5 90715,20388
8600000US90716,90716,ZCTA5 90716,14184
8600000US90717,90717,ZCTA5 90717,21318
8600000US90723,90723,ZCTA5 90723,54099
8600000US90731,90731,ZCTA5 90731,59662
8600000US90732,90732,ZCTA5 90732,21115
8600000US90740,90740,ZCTA5 90740,23729
8600000US90744,90744,ZCTA5 90744,53815
8600000US90745,90745,ZCTA5 90745,57251
8600000US90746,90746,ZCTA5 90746,25990
8600000US90747,90747,ZCTA5 90747,0
8600000US90755,90755,ZCTA5 90755,11074
8600000US90802,90802,ZCTA5 90802,39347
8600000US90803,90803,ZCTA5 90803,32031
8600000US90804,90804,ZCTA5 90804,40311
8600000US90805,90805,ZCTA5 90805,93524
8600000US90806,90806,ZCTA5 90806,42399
8600000US90807,90807,ZCTA5 90807,31481
8600000US90808,90808,ZCTA5 90808,38232
8600000US90810,90810,ZCTA5 90810,36735
8600000US90813,90813,ZCTA5 90813,58911
8600000US90814,90814,ZCTA5 90814,19131
8600000US90815,90815,ZCTA5 90815,39733
8600000US90822,90822,ZCTA5 90822,117
8600000US90831,90831,ZCTA5 90831,0
8600000US91001,91001,ZCTA5 91001,36126
8600000US91006,91006,ZCTA5 91006,31715
8600000US91007,91007,ZCTA5 91007,34095
8600000US91008,91008,ZCTA5 91008,1391
8600000US91010,91010,ZCTA5 91010,26074
8600000US91011,91011,ZCTA5 91011,20280
8600000US91016,91016,ZCTA5 91016,40598
8600000US91020,91020,ZCTA5 91020,8415
8600000US91024,91024,ZCTA5 91024,10917
8600000US91030,91030,ZCTA5 91030,25616
8600000US91040,91040,ZCTA5 91040,20372
8600000US91042,91042,ZCTA5 91042,27585
8600000US91046,91046,ZCTA5 91046,156
8600000US91101,91101,ZCTA5 91101,20460
8600000US91103,91103,ZCTA5 91103,27480
8600000US91104,91104,ZCTA5 91104,36751
8600000US91105,91105,ZCTA5 91105,11254
8600000US91106,91106,ZCTA5 91106,24229
8600000US91107,91107,ZCTA5 91107,32940
8600000US91108,91108,ZCTA5 91108,13361
8600000US91201,91201,ZCTA5 91201,22781
8600000US91202,91202,ZCTA5 91202,22830
8600000US91203,91203,ZCTA5 91203,13220
8600000US91204,91204,ZCTA5 91204,16032
8600000US91205,91205,ZCTA5 91205,37810
8600000US91206,91206,ZCTA5 91206,33065
8600000US91207,91207,ZCTA5 91207,10506
8600000US91208,91208,ZCTA5 91208,16245
8600000US91210,91210,ZCTA5 91210,328
8600000US91214,91214,ZCTA5 91214,30356
8600000US91301,91301,ZCTA5 91301,25488
8600000US91302,91302,ZCTA5 91302,25709
8600000US91303,91303,ZCTA5 91303,26855
8600000US91304,91304,ZCTA5 91304,50231
8600000US91306,91306,ZCTA5 91306,45061
8600000US91307,91307,ZCTA5 91307,24474
8600000US91311,91311,ZCTA5 91311,36557
8600000US91316,91316,ZCTA5 91316,26898
8600000US91321,91321,ZCTA5 91321,34882
8600000US91324,91324,ZCTA5 91324,27669
8600000US91325,91325,ZCTA5 91325,32417
8600000US91326,91326,ZCTA5 91326,33708
8600000US91330,91330,ZCTA5 91330,2702
8600000US91331,91331,ZCTA5 91331,103689
8600000US91335,91335,ZCTA5 91335,74363
8600000US91340,91340,ZCTA5 91340,34188
8600000US91342,91342,ZCTA5 91342,91725
8600000US91343,91343,ZCTA5 91343,60254
8600000US91344,91344,ZCTA5 91344,51747
8600000US91345,91345,ZCTA5 91345,18496
8600000US91350,91350,ZCTA5 91350,33348
8600000US91351,91351,ZCTA5 91351,32362
8600000US91352,91352,ZCTA5 91352,47807
8600000US91354,91354,ZCTA5 91354,28722
8600000US91355,91355,ZCTA5 91355,32605
8600000US91356,91356,ZCTA5 91356,29458
8600000US91361,91361,ZCTA5 91361,20438
8600000US91362,91362,ZCTA5 91362,36045
8600000US91364,91364,ZCTA5 91364,25851
8600000US91367,91367,ZCTA5 91367,39499
8600000US91371,91371,ZCTA5 91371,1
8600000US91381,91381,ZCTA5 91381,20158
8600000US91384,91384,ZCTA5 91384,29855
8600000US91387,91387,ZCTA5 91387,40328
8600000US91390,91390,ZCTA5 91390,19786
8600000US91401,91401,ZCTA5 91401,39285
8600000US91402,91402,ZCTA5 91402,69817
8600000US91403,91403,ZCTA5 91403,23484
8600000US91405,91405,ZCTA5 91405,51145
8600000US91406,91406,ZCTA5 91406,51558
8600000US91411,91411,ZCTA5 91411,24628
8600000US91423,91423,ZCTA5 91423,30991
8600000US91436,91436,ZCTA5 91436,14372
8600000US91501,91501,ZCTA5 91501,20849
8600000US91502,91502,ZCTA5 91502,11371
8600000US91504,91504,ZCTA5 91504,24939
8600000US91505,91505,ZCTA5 91505,30778
8600000US91506,91506,ZCTA5 91506,18904
8600000US91601,91601,ZCTA5 91601,37180
8600000US91602,91602,ZCTA5 91602,17473
8600000US91604,91604,ZCTA5 91604,29034
8600000US91605,91605,ZCTA5 91605,56343
8600000US91606,91606,ZCTA5 91606,44958
8600000US91607,91607,ZCTA5 91607,27927
8600000US91608,91608,ZCTA5 91608,0
8600000US91702,91702,ZCTA5 91702,59705
8600000US91706,91706,ZCTA5 91706,76571
8600000US91711,91711,ZCTA5 91711,35705
8600000US91722,91722,ZCTA5 91722,34409
8600000US91723,91723,ZCTA5 91723,18275
8600000US91724,91724,ZCTA5 91724,26184
8600000US91731,91731,ZCTA5 91731,29591
8600000US91732,91732,ZCTA5 91732,61386
8600000US91733,91733,ZCTA5 91733,43896
8600000US91740,91740,ZCTA5 91740,25356
8600000US91741,91741,ZCTA5 91741,25824
8600000US91744,91744,ZCTA5 91744,85040
8600000US91745,91745,ZCTA5 91745,54013
8600000US91746,91746,ZCTA5 91746,30485
8600000US91748,91748,ZCTA5 91748,45406
8600000US91750,91750,ZCTA5 91750,33249
8600000US91754,91754,ZCTA5 91754,32742
8600000US91755,91755,ZCTA5 91755,27496
8600000US91759,91759,ZCTA5 91759,476
8600000US91765,91765,ZCTA5 91765,46457
8600000US91766,91766,ZCTA5 91766,71599
8600000US91767,91767,ZCTA5 91767,48068
8600000US91768,91768,ZCTA5 91768,34537
8600000US91770,91770,ZCTA5 91770,62097
8600000US91773,91773,ZCTA5 91773,33119
8600000US91775,91775,ZCTA5 91775,23988
8600000US91776,91776,ZCTA5 91776,38475
8600000US91780,91780,ZCTA5 91780,34332
8600000US91789,91789,ZCTA5 91789,43079
8600000US91790,91790,ZCTA5 91790,44907
8600000US91791,91791,ZCTA5 91791,32414
8600000US91792,91792,ZCTA5 91792,30854
8600000US91801,91801,ZCTA5 91801,52735
8600000US91803,91803,ZCTA5 91803,30322
8600000US92397,92397,ZCTA5 92397,4894
8600000US93243,93243,ZCTA5 93243,1699
8600000US93510,93510,ZCTA5 93510,7993
8600000US93532,93532,ZCTA5 93532,2932
8600000US93534,93534,ZCTA5 93534,39341
8600000US93535,93535,ZCTA5 93535,72046
8600000US93536,93536,ZCTA5 93536,70918
8600000US93543,93543,ZCTA5 93543,13033
8600000US93544,93544,ZCTA5 93544,1259
8600000US93550,93550,ZCTA5 93550,74929
8600000US93551,93551,ZCTA5 93551,50798
8600000US93552,93552,ZCTA5 93552,38158
8600000US93553,93553,ZCTA5 93553,2138
8600000US93560,93560,ZCTA5 93560,18910
8600000US93563,93563,ZCTA5 93563,388
8600000US93591,93591,ZCTA5 93591,7285
